Année;Code_INSEE;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;% gauche/Exp;% centre/Exp;% droite/Exp;Résultat
2022;69004;Alix;470;73;15.53;397;84.47;6;1.28;1.51;2;0.43;0.5;389;82.77;97.98;24.68;30.85;44.47;droite
2022;69005;Ambérieux;407;60;14.74;347;85.26;4;0.98;1.15;1;0.25;0.29;342;84.03;98.56;15.79;28.07;56.14;droite
2022;69006;Amplepuis;3503;801;22.87;2702;77.13;69;1.97;2.55;24;0.69;0.89;2609;74.48;96.56;26.33;29.47;44.19;droite
2022;69007;Ampuis;2138;405;18.94;1733;81.06;25;1.17;1.44;15;0.7;0.87;1693;79.19;97.69;20.73;31.6;47.67;droite
2022;69008;Ancy;494;71;14.37;423;85.63;4;0.81;0.95;2;0.4;0.47;417;84.41;98.58;24.94;30.7;44.36;droite
2022;69009;Anse;5057;1060;20.96;3997;79.04;77;1.52;1.93;16;0.32;0.4;3904;77.2;97.67;30.15;34.76;35.09;droite
2022;69010;L'Arbresle;4170;937;22.47;3233;77.53;48;1.15;1.48;19;0.46;0.59;3166;75.92;97.93;38.5;29.12;32.38;gauche
2022;69012;Les Ardillats;466;72;15.45;394;84.55;9;1.93;2.28;1;0.21;0.25;384;82.4;97.46;27.86;30.21;41.93;droite
2022;69013;Arnas;2843;559;19.66;2284;80.34;42;1.48;1.84;18;0.63;0.79;2224;78.23;97.37;24.46;31.79;43.75;droite
2022;69014;Aveize;799;141;17.65;658;82.35;16;2.0;2.43;4;0.5;0.61;638;79.85;96.96;26.8;31.82;41.38;droite
2022;69016;Azolette;130;28;21.54;102;78.46;2;1.54;1.96;0;0.0;0.0;100;76.92;98.04;14.0;32.0;54.0;droite
2022;69017;Bagnols;583;89;15.27;494;84.73;5;0.86;1.01;0;0.0;0.0;489;83.88;98.99;26.18;33.13;40.7;droite
2022;69018;Beaujeu;1298;300;23.11;998;76.89;17;1.31;1.7;2;0.15;0.2;979;75.42;98.1;20.84;32.48;46.68;droite
2022;69019;Belleville-en-Beaujolais;8446;2201;26.06;6245;73.94;102;1.21;1.63;25;0.3;0.4;6118;72.44;97.97;27.67;29.08;43.25;droite
2022;69020;Belmont-d'Azergues;518;60;11.58;458;88.42;7;1.35;1.53;3;0.58;0.66;448;86.49;97.82;33.48;30.36;36.16;droite
2022;69021;Bessenay;1676;240;14.32;1436;85.68;25;1.49;1.74;5;0.3;0.35;1406;83.89;97.91;34.85;28.52;36.63;droite
2022;69022;Bibost;410;66;16.1;344;83.9;4;0.98;1.16;3;0.73;0.87;337;82.2;97.97;25.22;26.11;48.66;droite
2022;69023;Blacé;1192;193;16.19;999;83.81;12;1.01;1.2;2;0.17;0.2;985;82.63;98.6;21.83;32.28;45.89;droite
2022;69024;Val d'Oingt;3282;616;18.77;2666;81.23;36;1.1;1.35;14;0.43;0.53;2616;79.71;98.12;29.09;32.95;37.96;droite
2022;69026;Le Breuil;372;75;20.16;297;79.84;5;1.34;1.68;0;0.0;0.0;292;78.49;98.32;19.52;33.22;47.26;droite
2022;69027;Brignais;9152;2124;23.21;7028;76.79;89;0.97;1.27;37;0.4;0.53;6902;75.42;98.21;31.8;35.79;32.41;centre
2022;69028;Brindas;4816;768;15.95;4048;84.05;37;0.77;0.91;25;0.52;0.62;3986;82.77;98.47;24.11;38.86;37.03;centre
2022;69029;Bron;23336;6180;26.48;17156;73.52;208;0.89;1.21;87;0.37;0.51;16861;72.25;98.28;42.75;28.9;28.36;gauche
2022;69030;Brullioles;651;123;18.89;528;81.11;8;1.23;1.52;5;0.77;0.95;515;79.11;97.54;22.91;33.79;43.3;droite
2022;69031;Brussieu;973;162;16.65;811;83.35;21;2.16;2.59;3;0.31;0.37;787;80.88;97.04;24.27;31.0;44.73;droite
2022;69032;Bully;1575;262;16.63;1313;83.37;17;1.08;1.29;9;0.57;0.69;1287;81.71;98.02;24.48;32.09;43.43;droite
2022;69033;Cailloux-sur-Fontaines;2122;309;14.56;1813;85.44;24;1.13;1.32;7;0.33;0.39;1782;83.98;98.29;19.36;43.83;36.81;centre
2022;69034;Caluire-et-Cuire;30438;6748;22.17;23690;77.83;296;0.97;1.25;74;0.24;0.31;23320;76.61;98.44;32.32;38.51;29.16;centre
2022;69035;Cenves;336;62;18.45;274;81.55;2;0.6;0.73;3;0.89;1.09;269;80.06;98.18;31.97;31.23;36.8;droite
