Code_INSEE;Résultat;Femmes;Hommes;Agriculteurs;Artisans;Cadres;Intermédiaires;Employés;Ouvriers;Retraités;Etudiants;Inactifs;Personne seule;Homme seul;Femme seule;Colocation;Famille;Famille monoparentale;Couple sans enfant;Couple avec enfants;Population avec enfants;15-24 ans;25-39 ans;40-54 ans;55-64 ans;65-79 ans;80 ans et +;Mariés;Pacsés;Concubinage;Veufs;Divorcés;Célibataires;Population_active
01001;droite;47.184259110473455;52.113957819225256;0.7042426111908178;5.633941319942611;10.563640028694405;14.78909612625538;15.493338737446196;17.606066857962695;28.169706886657103;0.0;6.338184074605452;8.571428521536669;5.142857159487776;3.4285714784633297;2.285714318975553;89.14285715948776;6.285714318975553;27.428571478463326;55.428571478463326;859.0;9.469153515064562;21.664275466284074;25.394548063127694;18.794835007173603;18.364418938307033;6.312769010043041;51.21951219512195;7.890961262553802;16.49928263988522;5.88235294117647;3.1563845050215207;15.351506456241031;697.0
01002;gauche;41.36363657407408;50.55555555555556;11.489899074074074;2.2979796296296295;9.191918981481482;13.787878703703704;9.191918981481482;9.191918981481482;32.17171712962963;0.0;4.595959722222222;14.54545457875458;10.909090842490842;3.636363736263736;0.0;85.45454542124543;5.454545421245421;25.454545421245424;54.54545457875457;273.0;11.574074074074074;18.98148148148148;34.25925925925926;12.037037037037036;14.814814814814813;8.333333333333332;47.68518518518518;11.11111111111111;9.722222222222223;3.2407407407407405;7.4074074074074066;20.833333333333336;216.0
01004;droite;52.88182621719966;47.11817378280034;0.12729689095665037;3.1143170686421127;7.806622344786908;15.437688885568711;17.76055759037292;15.886918525010396;25.464425867387913;0.0;14.402172835214355;19.17449287723082;7.845242556006873;11.329250314584286;1.2846967649926773;79.54081035777651;12.041020311007824;23.27401247296873;44.225777580439605;15061.008969;16.526934463321673;24.60865730499224;21.861013737622418;14.436933603625576;16.19895730279616;6.106620175706663;40.95764006298937;5.835323463564452;9.955738531490212;6.778822006283907;8.566899345810487;27.644693193806237;12594.508695
01005;droite;51.34626204830509;47.88230872992793;0.3626124642935623;6.556031812952759;8.691035917161708;15.289280722873988;21.150484899349543;13.928360059393361;26.270239609784007;0.0;6.980525228088739;11.398030568596766;4.004713458528951;7.393317110067814;2.940160354720918;85.66180912884715;4.370043296817945;25.87341095461659;55.41835482524778;1917.0;10.943253678714283;25.029361557403252;25.784335406501203;17.295346181925066;15.38478692738745;5.56291624806875;48.80951472904951;7.840915498124508;14.19399522719242;4.623645763521443;4.5090982271778275;20.02283055493429;1554.35556
01006;droite;39.86013942307692;54.807692307692314;0.0;0.0;0.0;9.965034615384614;14.947552884615384;44.84265769230769;19.930070192307692;0.0;4.982517307692307;13.63636403508772;13.63636403508772;0.0;0.0;86.36363596491228;18.181818421052633;36.363635964912284;31.818181578947367;114.0;7.6923076923076925;21.153846153846153;17.307692307692307;23.076923076923077;25.0;5.769230769230769;49.03846153846153;8.653846153846153;10.576923076923077;2.8846153846153846;9.615384615384617;19.230769230769234;104.0
01007;droite;50.41056443903579;49.3111326134663;0.7089083849496317;2.322531357981692;9.701074169346438;19.753252656617217;16.913341385289165;15.879575125910378;23.192302781450714;0.0;11.250711236041127;13.10347282322912;6.937132689908089;6.16634016880719;1.4873285501212923;85.4091986266496;11.255231865502937;23.797256589023725;50.356710136636764;2818.000098;11.128847125731399;26.550438304479567;25.071002417574068;15.66516886296409;16.418285538186012;5.166257705980589;47.81976941036585;7.222489625088775;11.75294413949419;5.400826379302895;6.513367585746699;21.29060290508587;2218.068136
01008;droite;48.9907611480185;51.0092388519815;0.7632368391439495;3.9609378631661647;9.74383759012236;11.828928621234216;13.500989463084977;19.858613656864033;22.565222579343114;0.0;17.778233228280012;13.214202879581153;3.775486518324607;9.438716361256546;1.287899607329843;85.497897513089;8.416483769633508;21.894292670157068;55.18712107329843;764.0;10.59518814595155;20.794109852819506;25.63538758426725;20.782354858637788;16.716831014107896;3.5629152080749225;42.638573571574995;12.931751782125831;11.426259820648147;4.319768895817367;7.261655038152212;19.508777714301534;629.87696
01009;droite;47.65879232895356;52.341207671046455;0.0;11.101664899893473;4.74370380635377;15.807403826797502;7.9188398793083214;9.502711252461374;41.40762501574034;0.0;9.518051669707063;14.991013731343283;5.4512776119402995;9.53973582089552;0.0;85.00898626865671;6.761770447761194;41.97266268656716;36.27455343283582;335.0;9.045944260684832;18.814574642614986;26.64953732216476;14.67357126598239;23.18277885607633;7.193283712650955;47.48718469907548;6.481171995968669;12.667481326640068;4.586428540182715;6.868669457489859;21.468754040817462;285.500709
01010;droite;49.20592178480073;50.79407810666767;1.0620185807635802;5.369503208736132;2.1302772942481067;16.615980909352803;14.46375255688369;17.117285101541277;25.528843026831684;0.0;17.71233921311112;14.423035130434783;6.363103739130434;8.059931391304348;3.4135375652173914;82.16342730434782;12.896347826086958;20.062032782608696;49.20504660869565;1150.0;12.153228481991805;23.73967815534366;26.048083584923777;16.593674844276883;14.979661086405697;5.484104110067823;44.213547100872006;9.239953885835952;12.64230333379145;5.7918525088932995;6.107587205309404;21.00318633683913;921.390659
01011;droite;48.89588195563627;47.39708446487945;1.5017972419697656;3.0824331376927216;15.458166681022314;13.715741639324811;9.246290842878684;12.68811404602867;34.27581051002321;0.0;6.324612321575536;12.592484711779447;6.868628070175439;5.7238566416040095;0.0;87.40751528822055;9.578074937343358;28.186441604010028;49.64299874686717;399.0;11.828925047229095;18.99266905671631;28.71223154582218;14.794309238635067;21.488047036201575;4.183818075395774;41.85910914644785;7.970241544967252;17.85089676344663;4.708423605226895;4.76233003188492;22.84899890802646;312.025876
